channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15
448,11170,4657,3744,6353,7649,6593,7441,3168,42410,4401,15363,23685,25414,39017,416
400,13827,5185,3456,6353,7953,6529,7345,3232,42442,4449,14499,20356,23173,35368,448
400,12130,5761,3472,6289,7777,6625,7569,3264,42298,4497,13379,19908,21813,32423,480
320,13155,6929,3472,6545,6497,6593,7441,3280,42282,4529,12242,17236,20100,29591,416
416,14339,7121,3632,6321,7361,6785,7441,3424,42474,4673,12082,16227,18740,27702,352
464,9714,9042,3792,5681,7345,6577,7425,3472,42330,4609,14131,15075,17412,25254,320
400,17892,11106,3712,6433,6737,6609,7425,3520,42330,4465,16083,13395,17108,24117,336
352,17028,11922,3968,6529,7953,6609,7489,3696,42410,4193,20276,14019,16644,22405,384
384,21845,13427,3104,6673,8674,6689,7569,3744,42538,4113,25414,12387,17924,21253,400
352,24565,13731,2256,6305,8274,6753,7521,3616,42282,4193,28294,11842,18132,20180,352
400,24774,14131,2592,6481,8594,6561,7521,3552,42218,4016,34088,13443,21317,19556,352
336,28006,14419,4561,6241,8754,6561,7041,4161,42282,4177,37401,12995,21765,17844,336
352,27494,14275,5313,6369,8738,6481,6961,4529,40201,4113,42682,14019,22821,20308,288
400,28166,14355,5441,6289,8722,6529,6545,4833,39273,4113,41594,12739,23813,20917,512
400,26566,14435,5441,7377,8978,6609,6065,4865,36776,4193,41866,11458,22981,22789,320
352,26502,14547,5377,7137,8690,6481,6161,4945,37305,4113,39049,10738,21413,22181,320
400,25446,14627,5073,7505,8866,6593,6225,4929,36264,4097,41018,9282,20613,20180,336
400,27878,14579,5297,7377,9042,6529,6433,4961,35480,4097,32551,9794,18324,20132,336
384,27846,14611,5169,7521,9122,6689,6241,4929,36296,4177,24053,9890,14755,18628,304
400,28214,14419,5313,7489,8658,6497,6225,5249,34872,4561,20308,8065,12595,18244,304
400,24533,13699,5937,7425,8962,6625,6993,5857,37721,5553,16195,6209,10770,17748,384
416,20805,12419,6225,7985,8930,7521,7953,7329,38233,5857,13731,6657,9570,16852,416
384,20997,11714,5953,9314,6897,8530,9938,7937,39337,6577,11762,6113,9298,16980,304
416,12755,11218,5713,10194,8978,9138,12050,9570,40457,7313,11922,7089,9762,17828,384
400,13075,10578,9170,11954,9890,10018,13027,10770,40953,7681,10658,6113,11986,19492,368
400,12755,10514,12355,12130,10290,9810,15139,12723,40953,8226,11554,7649,13267,21045,368
400,12483,10530,12002,12483,11394,11346,15827,15235,40553,8338,11586,7809,16852,24934,480
400,12675,10562,11698,12371,12387,11522,18324,16596,37689,9026,14915,9330,19636,24533,528
352,10962,10594,11234,12467,12258,12643,19092,15491,36873,8786,20004,10210,23605,26566,384
400,11954,10594,11042,12403,13379,12963,20404,15811,34712,9010,23957,15123,43018,35480,464
336,12483,10658,11234,12371,12755,13475,21461,16019,31959,9762,20581,14803,43722,36504,336
416,15331,10626,10322,12435,13811,13747,21685,15939,31271,9602,19844,16916,45659,38361,528
368,16564,10466,12034,12579,13971,13779,21941,16884,30679,9570,22021,16436,54013,41562,352
384,17444,10642,13075,12419,13123,13779,22309,17108,30663,9874,21397,17124,52060,46267,352
416,16900,10674,12291,12018,14115,14051,21925,16964,30599,9890,18228,12643,38281,37225,304
384,17236,10722,12563,12082,15235,13907,20805,16516,30951,9442,17108,10178,26182,26774,528
304,12114,10594,11426,12018,13635,13603,17764,16452,33864,8898,14115,10466,19172,21333,304
384,14547,10674,8962,12291,11394,12947,14179,15363,34904,352,14547,12387,15011,19364,400
400,352,10690,10658,12162,11346,12114,13155,13315,36280,8658,16307,12435,13363,20164,336
400,16740,10834,9474,11282,10642,10946,11954,11938,36456,8258,16083,11586,12643,20981,336
384,18756,11906,8754,11330,10322,10466,11154,11282,36408,8177,21013,11314,15267,23941,400
416,16516,13699,8866,11458,10706,10402,10946,11138,34616,8274,27814,8482,16916,24886,320
416,21077,14163,9074,12419,10034,10194,10450,11330,33736,8386,53613,10066,25414,25750,496
416,24149,14387,9058,13219,10018,10178,9746,11154,32487,8450,52412,9458,25862,24533,352
352,27958,14371,6577,13027,10050,10194,9666,11154,31431,8290,45691,10306,25414,26230,336
400,28711,14499,8546,13027,10594,10130,9410,11170,31431,8450,41978,9474,23349,27238,320
